Category,Předmět,Cena,Dostupnost,Váha,Suroviny,Čas,Talent,Nářadí,Účinek,Ruce,Bonus,Zranění,Vlastnosti,Zbroj,Column_3,Trvanlivost,Zdroj,Poznámky,Talent/nářadí,"Effekt (Opravy lepších předmětů jsou náročnější, speciální bonusy jsou záporné kostky, pokud nepoužiješ vzácné suroviny)",Materiál,Příklad monstra
Zboží,Toulec,"0,8",běžné,–,1/2 usně,čtvrtden,Koželuh,nůž,Při nošení nijak nezatěžuje.,,,,,,,,,,,,,
Zboží,Hák na lano,3,neobvyklé,normální,1 železo,čtvrtden,Kovář,kovárna,Bonus vybavení +1 při lezení.,,,,,,,,,,,,,
Zboží,"Lano, 10 metrů",2,běžné,normální,1 látka,čtvrtden,Krejčí,nůž,Bonus vybavení +1 při lezení.,,,,,,,,,,,,,
Zboží,"Svíčka, lojová","0,6",běžné,drobné,"1/10 látky, 1/4 loje",čtvrtden,–,oheň,Po dobu jednoho čtvrtdne svítí na délku paže.,,,,,,,,,,,,,
Zboží,"Lampička, olejová","0,5",běžné,lehké,1 kámen,jeden den,–,oheň,Svítí čtvrtden na krátkou vzdálenost. Dá se použít jen uvnitř. Vyžaduje lampový olej.,,,,,,,,,,,,,
Zboží,Lucerna,2,běžné,lehké,1 železo,jeden den,Kovář,kovárna,Svítí čtvrtden na krátkou vzdálenost. Vyžaduje lampový olej.,,,,,,,,,,,,,
Zboží,Pochodně,"0,5",běžné,normální,1 dřevo,čtvrtden,–,nůž nebo sekera,Zvýší kostku zdroje pochodní o jeden stupeň. Svítí na krátkou vzdálenost. Každou směnu (15 minut) házej kostkou zdroje.,,,,,,,,,,,,,
Zboží,Pytel,"0,8",běžné,–,1 látka,čtvrtden,Krejčí,nůž,Při nošení nijak nezatěžuje.,,,,,,,,,,,,,
Zboží,Batoh,4,běžné,–,2 látky,čtvrtden,Krejčí,"nůž, jehla a nit",Při nošení nijak nezatěžuje.,,,,,,,,,,,,,
Zboží,Měch na vodu,3,běžné,–,1 usně,čtvrtden,Koželuh,jehla a nit,Je potřeba k nošení vody. Nijak nezatěžuje.,,,,,,,,,,,,,
